state,avg_risk_index,avg_price_spread_ratio,std_modal_price,n_unique_commodities,n_markets,avg_price_range,avg_modal_price,state_rank
Goa,0.322,0.158,16489.81,2,1,145.0,15934.167,1
Jammu and Kashmir,0.221,0.14,3663.797,41,9,687.65,4868.344,2
Himachal Pradesh,0.212,0.282,4551.385,43,20,1426.124,5632.584,3
Punjab,0.207,0.284,3295.514,55,56,967.049,3662.49,4
Assam,0.206,0.138,2702.324,14,13,503.614,3800.964,5
Meghalaya,0.203,0.216,4502.011,12,2,1433.333,5291.667,6
NCT of Delhi,0.202,0.666,3027.002,15,2,3255.556,4642.611,7
Tripura,0.197,0.095,6065.137,23,10,738.034,7769.54,8
Bihar,0.196,0.06,1409.399,4,15,240.0,4146.19,9
Haryana,0.196,0.28,2712.624,54,37,1003.082,3501.264,10
Uttrakhand,0.196,0.198,1488.917,26,11,391.955,2243.94,11
Kerala,0.193,0.146,11579.004,84,89,668.492,6646.389,12
Andaman and Nicobar,0.186,0.434,89.497,12,1,38.333,91.25,13
Nagaland,0.186,0.148,5203.316,16,4,712.5,6133.333,14
Odisha,0.184,0.145,3764.53,31,39,681.133,4522.014,15
Tamil Nadu,0.18,0.133,5442.495,80,181,758.698,5702.453,16
Maharashtra,0.178,0.387,3429.321,75,65,1581.322,4151.132,17
Uttar Pradesh,0.172,0.056,3488.521,70,165,169.049,4226.163,18
Telangana,0.161,0.31,2998.202,65,53,1027.141,3870.682,19
West Bengal,0.157,0.076,3461.525,44,47,353.407,5060.922,20
Karnataka,0.156,0.307,6643.719,73,30,1207.967,4597.742,21
Gujarat,0.15,0.273,4441.874,90,116,1293.349,5385.376,22
Rajasthan,0.149,0.23,3660.876,62,36,1161.815,4752.322,23
Madhya Pradesh,0.136,0.184,3765.203,41,147,1042.745,4556.683,24
Andhra Pradesh,0.135,0.25,2768.02,17,16,1011.067,4462.933,25
Chattisgarh,0.124,0.052,2123.013,32,33,160.738,3059.585,26
Pondicherry,0.072,0.188,1130.67,3,2,868.75,2561.25,27
